phase,cell,cell_type,model,metric,value,note,n_recordings,n_mice
B,delta,band,random_forest,roc_auc,0.35769230769230764,,33,17
B,delta,band,random_forest,accuracy,0.42424242424242425,,33,17
B,delta,band,svm_rbf,perm_null_mean_balanced_accuracy,0.40498826264941074,,33,17
B,delta,band,svm_rbf,perm_p_value_balanced_accuracy,0.8557213930348259,,33,17
B,theta,band,svm_rbf,balanced_accuracy,0.375,,33,17
B,theta,band,svm_rbf,roc_auc,0.17307692307692307,,33,17
B,theta,band,svm_rbf,accuracy,0.45454545454545453,,33,17
B,theta,band,random_forest,balanced_accuracy,0.35192307692307695,,33,17
B,theta,band,random_forest,roc_auc,0.31346153846153846,,33,17
B,theta,band,random_forest,accuracy,0.3939393939393939,,33,17
B,theta,band,svm_rbf,perm_null_mean_balanced_accuracy,0.4101576557102654,,33,17
B,theta,band,svm_rbf,perm_p_value_balanced_accuracy,0.6666666666666666,,33,17
B,beta,band,svm_rbf,balanced_accuracy,0.5653846153846154,,33,17
B,beta,band,svm_rbf,roc_auc,0.5576923076923077,,33,17
B,beta,band,svm_rbf,accuracy,0.6363636363636364,,33,17
B,beta,band,random_forest,balanced_accuracy,0.26346153846153847,,33,17
B,beta,band,random_forest,roc_auc,0.21923076923076923,,33,17
B,beta,band,random_forest,accuracy,0.30303030303030304,,33,17
B,beta,band,svm_rbf,perm_null_mean_balanced_accuracy,0.40057466180685564,,33,17
B,beta,band,svm_rbf,perm_p_value_balanced_accuracy,0.0945273631840796,,33,17
B,low_gamma,band,svm_rbf,balanced_accuracy,0.6538461538461539,,33,17
B,low_gamma,band,svm_rbf,roc_auc,0.7846153846153846,,33,17
B,low_gamma,band,svm_rbf,accuracy,0.7272727272727273,,33,17
B,low_gamma,band,random_forest,balanced_accuracy,0.275,,33,17
B,low_gamma,band,random_forest,roc_auc,0.06346153846153846,,33,17
B,low_gamma,band,random_forest,accuracy,0.3333333333333333,,33,17
B,low_gamma,band,svm_rbf,perm_null_mean_balanced_accuracy,0.401086766519869,,33,17
B,low_gamma,band,svm_rbf,perm_p_value_balanced_accuracy,0.03980099502487562,,33,17
B,high_gamma,band,svm_rbf,balanced_accuracy,0.5057692307692307,,33,17
B,high_gamma,band,svm_rbf,roc_auc,0.6461538461538462,,33,17
B,high_gamma,band,svm_rbf,accuracy,0.5151515151515151,,33,17
B,high_gamma,band,random_forest,balanced_accuracy,0.45384615384615384,,33,17
B,high_gamma,band,random_forest,roc_auc,0.43846153846153846,,33,17
B,high_gamma,band,random_forest,accuracy,0.48484848484848486,,33,17
B,high_gamma,band,svm_rbf,perm_null_mean_balanced_accuracy,0.41275392712759784,,33,17
B,high_gamma,band,svm_rbf,perm_p_value_balanced_accuracy,0.1791044776119403,,33,17
B,fast_gamma,band,svm_rbf,balanced_accuracy,0.6942307692307692,,33,17
B,fast_gamma,band,svm_rbf,roc_auc,0.7576923076923077,,33,17
B,fast_gamma,band,svm_rbf,accuracy,0.7272727272727273,,33,17
B,fast_gamma,band,random_forest,balanced_accuracy,0.3884615384615384,,33,17
B,fast_gamma,band,random_forest,roc_auc,0.36538461538461536,,33,17
B,fast_gamma,band,random_forest,accuracy,0.45454545454545453,,33,17
B,fast_gamma,band,svm_rbf,perm_null_mean_balanced_accuracy,0.4024907196279588,,33,17
B,fast_gamma,band,svm_rbf,perm_p_value_balanced_accuracy,0.014925373134328358,,33,17
B,theta_delta,ratio,svm_rbf,balanced_accuracy,0.4884615384615385,,33,17
B,theta_delta,ratio,svm_rbf,roc_auc,0.34615384615384615,,33,17
B,theta_delta,ratio,svm_rbf,accuracy,0.5757575757575758,,33,17
B,theta_delta,ratio,random_forest,balanced_accuracy,0.47884615384615387,,33,17
B,theta_delta,ratio,random_forest,roc_auc,0.4403846153846154,,33,17
B,theta_delta,ratio,random_forest,accuracy,0.5151515151515151,,33,17
B,theta_delta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.41218041715551396,,33,17
B,theta_delta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.2835820895522388,,33,17
B,beta_delta,ratio,svm_rbf,balanced_accuracy,0.5403846153846154,,33,17
B,beta_delta,ratio,svm_rbf,roc_auc,0.4346153846153847,,33,17
B,beta_delta,ratio,svm_rbf,accuracy,0.6060606060606061,,33,17
B,beta_delta,ratio,random_forest,balanced_accuracy,0.5423076923076923,,33,17
B,beta_delta,ratio,random_forest,roc_auc,0.45961538461538465,,33,17
B,beta_delta,ratio,random_forest,accuracy,0.5757575757575758,,33,17
B,beta_delta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.40611383616971936,,33,17
B,beta_delta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.13432835820895522,,33,17
B,low_gamma_delta,ratio,svm_rbf,balanced_accuracy,0.5423076923076923,,33,17
B,low_gamma_delta,ratio,svm_rbf,roc_auc,0.4038461538461538,,33,17
B,low_gamma_delta,ratio,svm_rbf,accuracy,0.5757575757575758,,33,17
