phase,cell,cell_type,model,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
B,high_gamma_theta,ratio,svm_rbf,0.41983948040091024,0.425,0.1796207264957265,0.675,987,13,57,19,
B,high_gamma_theta,ratio,random_forest,0.3501584751061996,0.35833333333333334,0.1,0.5416666666666666,987,13,57,19,
B,fast_gamma_theta,ratio,svm_rbf,0.4669090350904513,0.4666666666666667,0.20401785714285714,0.7064950980392156,991,9,57,19,
B,fast_gamma_theta,ratio,random_forest,0.4527789640177661,0.45104895104895104,0.2318181818181818,0.6666666666666666,991,9,57,19,
B,low_gamma_beta,ratio,svm_rbf,0.4347385322559634,0.4375,0.22399475524475526,0.6227350427350427,989,11,57,19,
B,low_gamma_beta,ratio,random_forest,0.5180458864178767,0.5208333333333334,0.3087121212121212,0.7083333333333334,989,11,57,19,
B,high_gamma_beta,ratio,svm_rbf,0.42092079590046044,0.41911764705882354,0.22605519480519481,0.6391339869281045,989,11,57,19,
B,high_gamma_beta,ratio,random_forest,0.43549092122503924,0.44285714285714284,0.18601190476190477,0.625,989,11,57,19,
B,fast_gamma_beta,ratio,svm_rbf,0.43714697848687206,0.43333333333333335,0.22106672932330826,0.6666666666666666,987,13,57,19,
B,fast_gamma_beta,ratio,random_forest,0.4816804521130136,0.48717948717948717,0.25968749999999996,0.6785714285714286,987,13,57,19,
B,high_gamma_low_gamma,ratio,svm_rbf,0.39564704774388604,0.39880952380952384,0.17291666666666666,0.5939236111111111,991,9,57,19,
B,high_gamma_low_gamma,ratio,random_forest,0.5457815059236083,0.5520833333333333,0.3204831932773109,0.75,991,9,57,19,
B,fast_gamma_low_gamma,ratio,svm_rbf,0.43822533507681494,0.43333333333333335,0.21341269841269842,0.7012499999999999,990,10,57,19,
B,fast_gamma_low_gamma,ratio,random_forest,0.4254242716682087,0.4230769230769231,0.2242361111111111,0.6281249999999997,990,10,57,19,
B,fast_gamma_high_gamma,ratio,svm_rbf,0.42249309503035914,0.42657342657342656,0.16541666666666668,0.6688405797101447,989,11,57,19,
B,fast_gamma_high_gamma,ratio,random_forest,0.43349864641834934,0.42810457516339867,0.21027777777777779,0.6583223684210523,989,11,57,19,
C,delta,band,svm_rbf,0.45430927669204657,0.4666666666666667,0.1,0.8012500000000004,917,83,26,14,
C,delta,band,random_forest,0.41179649443008226,0.4166666666666667,0.09015151515151516,0.7089285714285716,917,83,26,14,
C,theta,band,svm_rbf,0.46269300978317374,0.4666666666666667,0.12125000000000004,0.875,915,85,26,14,
C,theta,band,random_forest,0.4208159038896743,0.43333333333333335,0.1,0.7083333333333333,915,85,26,14,
C,beta,band,svm_rbf,0.43726439083968877,0.4375,0.08333333333333333,0.8,923,77,26,14,
