mouse_uid,feature,n_rec,spearman_r,spearman_p
22,log_delta_abs,6,0.08571428571428573,0.8717434402332361
22,log_theta_abs,6,-0.3714285714285715,0.46847813411078715
22,log_beta_abs,6,-0.08571428571428573,0.8717434402332361
22,log_low_gamma_abs,6,0.028571428571428574,0.9571545189504373
22,log_high_gamma_abs,6,-0.08571428571428573,0.8717434402332361
22,log_fast_gamma_abs,6,0.5428571428571429,0.26570262390670557
22,delta_rel,6,-0.028571428571428574,0.9571545189504373
22,theta_rel,6,-0.3714285714285715,0.46847813411078715
22,beta_rel,6,0.6571428571428573,0.15617492711370237
22,low_gamma_rel,6,0.6,0.20799999999999982
22,high_gamma_rel,6,0.48571428571428577,0.3287230320699709
22,fast_gamma_rel,6,0.5428571428571429,0.26570262390670557
22,log_theta_delta,6,-0.08571428571428573,0.8717434402332361
22,log_beta_delta,6,0.6,0.20799999999999982
22,log_low_gamma_delta,6,0.7714285714285715,0.07239650145772594
22,log_high_gamma_delta,6,0.2571428571428572,0.6227871720116618
22,log_fast_gamma_delta,6,0.8285714285714287,0.04156268221574334
22,log_beta_theta,6,0.6571428571428573,0.15617492711370237
22,log_low_gamma_theta,6,0.6,0.20799999999999982
22,log_high_gamma_theta,6,0.6,0.20799999999999982
22,log_fast_gamma_theta,6,0.5428571428571429,0.26570262390670557
22,log_low_gamma_beta,6,0.2,0.704
22,log_high_gamma_beta,6,0.14285714285714288,0.7871720116618075
22,log_fast_gamma_beta,6,0.5428571428571429,0.26570262390670557
22,log_high_gamma_low_gamma,6,-0.08571428571428573,0.8717434402332361
22,log_fast_gamma_low_gamma,6,0.3142857142857143,0.5440932944606414
22,log_fast_gamma_high_gamma,6,0.3142857142857143,0.5440932944606414
25,log_delta_abs,4,0.0,1.0
25,log_theta_abs,4,-0.39999999999999997,0.6
25,log_beta_abs,4,-0.39999999999999997,0.6
25,log_low_gamma_abs,4,-0.39999999999999997,0.6
25,log_high_gamma_abs,4,-0.39999999999999997,0.6
25,log_fast_gamma_abs,4,-0.39999999999999997,0.6
25,delta_rel,4,-0.39999999999999997,0.6
