mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,delta_abs,delta_rel,theta_abs,theta_rel,beta_abs,beta_rel,low_gamma_abs,low_gamma_rel,high_gamma_abs,high_gamma_rel,fast_gamma_abs,fast_gamma_rel,total_power
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-24_13-50-15_DIFF_Ch3_minus_Ch4.npy,2026-03-24,diet,29.0,,30.37,interpolated,D,785666.9272701798,0.17762766964105475,451449.5749646745,0.23660136142103325,168241.1022199465,0.2377994320775961,38807.739733113835,0.10810948796997437,12392.985979292047,0.04612842643308862,5427.661990976817,0.020545359490948364,77830.29406241143
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-04-01_12-28-44_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,30.43,interpolated,C,7555359.806108212,0.15567242212784618,7129162.446688717,0.3283475352711449,1552580.4419291026,0.19227534691143938,407392.0391561406,0.1000048765008829,71562.81082138108,0.0234883939022326,14456.084295253819,0.004827056067015175,864587.215749109
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-30_12-01-38_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,30.1,measured,A,995776.9527740836,0.14962952141994612,793465.6857400675,0.27457730933907554,273381.48648756667,0.2511633142043277,43836.75877713381,0.07959498529123055,13014.959048487177,0.031652682708809166,5554.541191744212,0.013731676117967042,118066.29400524143
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-02-21_13-53-25_DIFF_Ch3_minus_Ch4.npy,2026-02-21,baseline,,,29.1,baseline,A,4222670.113344272,0.3281905400502992,1798253.957266152,0.3140706891731331,206854.7506014625,0.09626572976579988,58209.02824773987,0.05422645163481349,24224.586167728972,0.030153166198652236,14322.61724673341,0.018137084596089096,236961.82506225948
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-04_12-59-01_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,29.37,interpolated,B,7404251.970568769,0.25896007495548334,5483750.806901251,0.4453191283110507,441529.283523371,0.09199494759367007,82144.945389751,0.034566457279147575,25691.184724013303,0.014396352649143919,13050.83931601573,0.0074150330163311635,521474.0010943062
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-09_13-11-23_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,29.7,measured,B,2433625.75660361,0.2348796741969814,1558846.5272890776,0.34041770272487026,216907.66485613893,0.12533131494149727,61188.220780227384,0.07107097943459276,20086.97299421203,0.031006724391414536,10153.17580700517,0.01592225292408951,187853.2870356926
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-14_13-02-22_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,29.15,interpolated,D,4072611.5783680356,0.4510085888428588,698219.9575292458,0.19266147573363102,140967.38012837782,0.10449079799384364,38944.91338384519,0.05770711168820004,16219.406612558863,0.03193473370317517,9181.238171387326,0.01834977148898611,165414.8314389553
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-19_19-00-58_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,28.5,measured,D,1753569.3508261673,0.264067530893987,764941.9095974641,0.26149101849961,173558.00525875698,0.15852359127031374,48404.40441081425,0.08813304901587318,20471.522305424412,0.04972811909260465,10406.52542866517,0.025637221114440552,120898.00330102442
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-27_12-30-35_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,29.03,interpolated,D,3901035.471726486,0.2546999565133523,1751260.8589774002,0.2533284807457185,482239.40527861746,0.1885345000330391,122871.39304579933,0.09483733485064397,36187.8983097534,0.03735582402090953,14970.810278756157,0.015699268649480368,281829.1594240021
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-04-01_12-52-41_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.27,interpolated,D,1685918.624291643,0.2915785290409381,697776.0538652973,0.27484653357463856,119476.81442112505,0.1245003535683163,39890.72492151594,0.08328741845226369,17285.985266629326,0.04810308161108481,9901.435398638498,0.028034464664897358,105906.61783402275
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-30_12-31-14_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.8,measured,B,1153214.8090791344,0.2450294631277536,604433.5473350312,0.2986400360358657,105554.22237736984,0.1376845468212439,34877.26556764332,0.09045713817601317,15907.677552368228,0.05515484539773128,7308.731610370704,0.02573751402001635,84672.85546610942
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-06_13-06-06_DIFF_Ch2_minus_Ch3.npy,2026-03-06,diet,11.0,,27.02,interpolated,B,1084993.5620740806,0.277354134124415,528805.1509367303,0.31532575406878033,60964.38886223078,0.09643778300121551,24056.022165329803,0.07634666361913084,10951.414713252625,0.04629652999699797,6027.677875029421,0.025888832246568728,70070.63384782895
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-11_13-10-18_DIFF_Ch2_minus_Ch3.npy,2026-03-11,diet,16.0,,26.93,interpolated,C,3226347.5271480256,0.32551674203209785,1528804.564053016,0.3448644206577588,125003.7831371507,0.0745535935495878,34670.087516938205,0.04175289025575907,12932.962551910541,0.020813994234742245,6851.413602469259,0.011217517899538905,182918.65322098558
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-17_12-19-55_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,26.57,interpolated,D,772104.0115745714,0.3662414647875832,187793.78505273742,0.20908132830130072,34098.28825034374,0.1017983562713467,15736.814704196831,0.09423770267185726,7881.655658812709,0.0629500660602121,4546.663669329255,0.03690712695227685,38425.30039592731
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-24_14-29-11_DIFF_Ch2_minus_Ch3.npy,2026-03-24,diet,29.0,,25.8,interpolated,C,589810.6759181886,0.26582340526638687,219905.83374752174,0.2340013228535524,44554.99158452888,0.12644925508417176,19323.143750487332,0.10983486475019509,9476.678771452203,0.07190777934889325,5285.599926845797,0.04074801228838434,39392.15274543402
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-04-01_13-17-43_DIFF_Ch2_minus_Ch3.npy,2026-04-01,recovery,,2.0,26.07,interpolated,C,704842.4244260708,0.28943347987779805,244141.5660477307,0.233937162868471,47091.853006192185,0.12047600935748443,20058.98751907173,0.10275181791143034,9769.528313510558,0.06679852611498455,5369.791101041368,0.03729582688314472,43800.41819408512
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-30_12-54-24_DIFF_Ch2_minus_Ch3.npy,2026-03-30,diet,35.0,,25.2,measured,D,669232.441136074,0.2653222466278191,238504.2235584695,0.21874201107125654,59936.95470268293,0.1481287039360503,20850.202900586253,0.10271027309173597,9480.455381904554,0.06239112373884419,5135.413187762821,0.03433785649963705,45177.4842736083
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-02-21_14-36-19_DIFF_Ch3_minus_Ch4.npy,2026-02-21,baseline,,,33.0,baseline,A,1506133.7390649612,0.28935116327255794,610576.6643609931,0.2707414659248238,85866.01569066524,0.10104657072219941,46460.82200820006,0.10975494873927025,20678.40683767346,0.06492060754487167,9962.709055698015,0.03177786987399522,94419.145839512
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-03-19_15-33-40_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,32.3,measured,D,1369075.3954511667,0.22211887781115527,778038.4344677282,0.29183907000245346,138556.0838617086,0.1380800315237953,57223.12807197425,0.11341101716129325,25635.901179695433,0.06760096363608857,10690.340677204664,0.028626178249930852,110574.85680564969
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-03-24_15-03-43_DIFF_Ch3_minus_Ch4.npy,2026-03-24,diet,29.0,,31.93,interpolated,C,1442316.1050299953,0.24701883690164175,750025.5003454299,0.29657293131091983,101362.11896697384,0.10676180793662349,48801.109717110856,0.10286972324208778,24600.777573187992,0.06909582090012609,10512.046391518083,0.02997006042483997,104602.017413593
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-04-01_13-41-00_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,31.6,interpolated,A,1085219.8911497942,0.21554089258046322,636747.4940754335,0.2933521877577235,98288.22529958612,0.12036056009437895,46390.1065944603,0.11371849599654352,22915.998888979717,0.07482685605616092,9780.318133669114,0.03240072578868259,89541.55936795451
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-03-30_13-16-59_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,30.4,measured,D,1484986.9874874777,0.2348989804775267,823530.0825208395,0.29633578339196354,112816.72354684443,0.10823993791089481,56442.76253983435,0.10843362364099583,27448.33561447883,0.07019206918528285,11783.408289549188,0.030585394126088506,114003.8790597459
1,HF,Cable1,Mouse1_Cable1_HF_2026-02-21_12-36-13_DIFF_Ch2_minus_Ch3.npy,2026-02-21,baseline,,,31.4,baseline,A,3280485.204705725,0.10944612040015937,7654864.7171096485,0.6181344251683232,342277.8371056383,0.06767020827288178,113439.68532646651,0.04605991063978041,38044.409798593995,0.02052469217316805,16698.65026884326,0.009182005231594181,528055.409549048
1,HF,Cable1,Mouse1_Cable1_HF_2026-03-03_12-16-25_DIFF_Ch2_minus_Ch3.npy,2026-03-03,diet,8.0,,39.87,interpolated,A,6378076.613828639,0.12997085063885847,12546900.099490425,0.6071261952380108,532186.2472944264,0.06379308108434223,164193.19700173495,0.04020502454393643,53022.07344222868,0.01725185676597711,22985.280266290574,0.007629250747611929,873557.0297962057
