outcome,term,beta,se,ci_lo,ci_hi,p_wald,converged,n_obs,n_mice,p_bh
log_high_gamma_theta,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.07625509646597048,0.06889543533811486,-0.21128766842788374,0.05877747549594278,0.26837018566423454,True,163,19,
log_high_gamma_theta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.035464352054079565,0.0827316418659988,-0.1266866863851442,0.1976153904933033,0.6681653388728386,True,163,19,
log_high_gamma_theta,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.005032268729250185,0.06587414517084263,-0.1240786833179645,0.13414322077646487,0.9391071008586732,True,163,19,
log_high_gamma_theta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.14036790095862134,0.0465835828412438,-0.23167004559829724,-0.04906575631894544,0.0025846736262806385,True,163,19,
log_high_gamma_theta,body_weight,-0.011068158173772035,0.01767443396091369,-0.04570941218429447,0.023573095836750407,0.5311678997639293,True,163,19,
log_high_gamma_theta,days_on_diet,-0.006396314370704177,0.0030818171167025766,-0.0124365649263803,-0.00035606381502805394,0.037940130389876384,True,163,19,
log_fast_gamma_theta,Intercept,-1.8343219533643262,0.7165763836105968,-3.238785857413054,-0.42985804931559857,0.010471991670207778,True,163,19,
log_fast_gamma_theta,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.07826805894556521,0.18314267835183706,-0.4372211125473693,0.28068499465623886,0.6691163263140003,True,163,19,0.8726332648506514
log_fast_gamma_theta,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.10260300041918173,0.07778452016934119,-0.2550578585058199,0.04985185766745644,0.18714668533718115,True,163,19,
log_fast_gamma_theta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.03465991220525139,0.09343978000228559,-0.14847869132257432,0.2177985157330771,0.7106873214051435,True,163,19,
log_fast_gamma_theta,"C(estrous_phase, Treatment(reference='A'))[T.D]",-0.01401509089791263,0.074349493554781,-0.15973742053407627,0.131707238738251,0.8504824872100498,True,163,19,
log_fast_gamma_theta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.1177883231884087,0.05249384720839248,-0.22067437312680643,-0.014902273250010992,0.024842049043508195,True,163,19,
log_fast_gamma_theta,body_weight,-0.003338278250165723,0.02234765029500479,-0.04713886796747103,0.040462311467139585,0.8812542778500967,True,163,19,
log_fast_gamma_theta,days_on_diet,-0.007017884394073047,0.003560704579834632,-0.013996737130135752,-3.903165801034253e-05,0.04873236770706204,True,163,19,
log_low_gamma_beta,Intercept,-0.6905084683988905,0.22716054508308328,-1.135734955470221,-0.24528198132755996,0.002367842856257723,True,163,19,
log_low_gamma_beta,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.10791493146287484,0.05478522115795897,-0.21529199181753617,-0.0005378711082135029,0.04886338348306649,True,163,19,0.7730732631017421
log_low_gamma_beta,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.019594089799590902,0.03192503979441176,-0.042977838402464164,0.08216601800164597,0.5393785419707585,True,163,19,
log_low_gamma_beta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.04426145170567951,0.038322356411238434,-0.030848986663055453,0.11937189007441447,0.24809972271369252,True,163,19,
log_low_gamma_beta,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.01795641749194969,0.03049758969268763,-0.04181775992099804,0.07773059490489742,0.5560078380907008,True,163,19,
