mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-04-01_12-28-44_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,30.43,interpolated,C,0.943590064489724,-0.02521664065630722,0.05714444609764251,-1.2430259725540251,0.01003803902022458,-1.9983511204456255,0.0020277395000261552,-2.6929878387706077,0.21777879989959126,-0.661984399762749
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-30_12-01-38_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,30.1,measured,A,0.7968307395843943,-0.09863392034945433,0.055247201693728126,-1.2576897143804013,0.01640267409465614,-1.7850853440326508,0.007000354636084201,-2.154879958186719,0.3445410323353593,-0.46275904935675954
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-02-21_13-53-25_DIFF_Ch3_minus_Ch4.npy,2026-02-21,baseline,,,29.1,baseline,A,0.4258570783408818,-0.37073612977612724,0.0323697484510107,-1.4898606755360264,0.013471170781994056,-1.87059465802137,0.007964735564106745,-2.098828638564128,0.11503088858257789,-0.9391855253880008
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-04_12-59-01_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,29.37,interpolated,B,0.7406218519708222,-0.13040347828395418,0.014979700625048884,-1.824496866088388,0.0046849657522149216,-2.329293579520801,0.0023799110819534993,-2.623439268715893,0.0805159277054877,-1.0941181987580437
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-09_13-11-23_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,29.7,measured,B,0.6405448837230495,-0.19345043333492049,0.039252241775614156,-1.4061355347664615,0.012885792566856734,-1.889888864126921,0.006513261972403477,-2.1862014535499843,0.13914626042972533,-0.8565284608826395
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-14_13-02-22_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,29.15,interpolated,D,0.17144280619293295,-0.7658807333327008,0.05577742796361408,-1.2535415160105137,0.023229651970925646,-1.6339572967963543,0.013149492609573193,-1.881091004673376,0.2018953749577879,-0.6948736298097935
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-19_19-00-58_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,28.5,measured,D,0.4362199357767479,-0.36029449052258544,0.06327853632217136,-1.1987435749363584,0.026762192067888078,-1.572478316763788,0.01360433426133156,-1.8663227059021799,0.22689043845184076,-0.6441838056359986
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-27_12-30-35_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,29.03,interpolated,D,0.4489220545852516,-0.347829058110502,0.07016167375404407,-1.1539000591306852,0.020663910875553006,-1.6847874799638045,0.008548589550215804,-2.0681055345219446,0.27536697506059016,-0.5600881461741282
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-04-01_12-52-41_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.27,interpolated,D,0.4138847770060524,-0.383120546983757,0.057168377591267514,-1.2428441326616755,0.02477297002508818,-1.6060219228375383,0.01418999024656975,-1.8480179030529131,0.1712251570676421,-0.7664324267324378
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-30_12-31-14_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.8,measured,B,0.5241291930838833,-0.28056165017691165,0.05770239875238298,-1.2388061323681954,0.026318323366573113,-1.5797417813133559,0.012091869557199727,-1.9175065464837941,0.174633295657996,-0.7578729499662736
