mouse,group,cable,filename,file_path,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase
17,HF,Cable1,Mouse17_Cable1-2026-03-05_11-29-30.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-03-05_11-29-30.eeg,2026-03-05,diet,10.0,,37.2,measured,B
17,HF,Cable1,Mouse17_Cable1-2026-03-10_13-26-40.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-03-10_13-26-40.eeg,2026-03-10,diet,15.0,,36.73,interpolated,B
17,HF,Cable1,Mouse17_Cable1-2026-03-16_11-21-18.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-03-16_11-21-18.eeg,2026-03-16,diet,21.0,,37.0,measured,B
17,HF,Cable1,Mouse17_Cable1-2026-03-23_11-29-16.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-03-23_11-29-16.eeg,2026-03-23,diet,28.0,,37.0,measured,B
17,HF,Cable1,Mouse17_Cable1-2026-03-29_13-25-51.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-03-29_13-25-51.eeg,2026-03-29,diet,34.0,,36.38,interpolated,A
17,HF,Cable1,Mouse17_Cable1-2026-03-31_12-09-43.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-03-31_12-09-43.eeg,2026-03-31,recovery,,1.0,35.77,interpolated,C
17,HF,Cable1,Mouse17_Cable1-2026-04-02_13-13-00.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-04-02_13-13-00.eeg,2026-04-02,recovery,,3.0,35.1,measured,D
21,HF,Cable1,Mouse21_Cable1-2026-03-03_14-13-44.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-03-03_14-13-44.eeg,2026-03-03,diet,8.0,,33.03,interpolated,A
21,HF,Cable1,Mouse21_Cable1-2026-03-08_13-00-59.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-03-08_13-00-59.eeg,2026-03-08,diet,13.0,,33.03,interpolated,B
21,HF,Cable1,Mouse21_Cable1-2026-03-13_14-26-02.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-03-13_14-26-02.eeg,2026-03-13,diet,18.0,,33.42,interpolated,D
21,HF,Cable1,Mouse21_Cable1-2026-03-19_14-50-19.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-03-19_14-50-19.eeg,2026-03-19,diet,24.0,,33.3,measured,A
21,HF,Cable1,Mouse21_Cable1-2026-03-26_12-24-10.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-03-26_12-24-10.eeg,2026-03-26,diet,31.0,,33.2,measured,C
21,HF,Cable1,Mouse21_Cable1-2026-03-29_14-46-18.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-03-29_14-46-18.eeg,2026-03-29,diet,34.0,,32.98,interpolated,A
21,HF,Cable1,Mouse21_Cable1-2026-03-31_12-34-40.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-03-31_12-34-40.eeg,2026-03-31,recovery,,1.0,32.43,interpolated,D
