mouse,group,cable,filename,file_path
9,HF,Cable1,Mouse9_Cable1-2026-04-16_12-17-00.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-04-16_12-17-00.eeg
10,HF,Cable1,Mouse10_Cable1-2026-02-13_11-56-28.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-02-13_11-56-28.eeg
10,HF,Cable1,Mouse10_Cable1-2026-03-05_10-50-49.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-05_10-50-49.eeg
10,HF,Cable1,Mouse10_Cable1-2026-03-10_12-49-22.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-10_12-49-22.eeg
10,HF,Cable1,Mouse10_Cable1-2026-03-16_10-44-00.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-16_10-44-00.eeg
10,HF,Cable1,Mouse10_Cable1-2026-03-23_10-51-51.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-23_10-51-51.eeg
10,HF,Cable1,Mouse10_Cable1-2026-03-29_12-39-17.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-29_12-39-17.eeg
10,HF,Cable1,Mouse10_Cable1-2026-03-31_11-21-55.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-31_11-21-55.eeg
10,HF,Cable1,Mouse10_Cable1-2026-04-02_12-22-42.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-04-02_12-22-42.eeg
10,HF,Cable1,Mouse10_Cable1-2026-04-10_12-53-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-04-10_12-53-12.eeg
10,HF,Cable1,Mouse10_Cable1-2026-04-16_12-40-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-04-16_12-40-12.eeg
14,HF,Cable1,Mouse14_Cable1-2026-02-12_14-36-02.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-02-12_14-36-02.eeg
14,HF,Cable1,Mouse14_Cable1-2026-03-03_13-37-05.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-03_13-37-05.eeg
14,HF,Cable1,Mouse14_Cable1-2026-03-08_12-26-39.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-08_12-26-39.eeg
14,HF,Cable1,Mouse14_Cable1-2026-03-13_13-50-04.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-13_13-50-04.eeg
