subset,phase,cell,cell_type,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
HFD,D,fast_gamma_low_gamma,ratio,-2.340066296753324,-0.9986516696710166,-11.876277751166093,0.2804556620326275,989,11,43,9,
HFD,D,fast_gamma_high_gamma,ratio,-1.8401501355431822,-0.8054210542742313,-10.600614782549737,0.302017257377924,987,13,43,9,
CTRL,A,delta,band,-2.2986523011769253,-1.0373591814739203,-9.254317592724885,0.264413516796237,893,107,24,9,
CTRL,A,theta,band,-2.940240740867829,-1.7551182209333365,-9.652157341402084,-0.19441472138270338,887,113,24,9,
CTRL,A,beta,band,-2.455720245427267,-1.3722744272655691,-9.77667785735454,0.08722679415867107,883,117,24,9,
CTRL,A,low_gamma,band,-2.7652133829140366,-1.3254939167973578,-10.119748194428352,0.019827157321611583,871,129,24,9,
CTRL,A,high_gamma,band,-3.101010118804714,-1.7010379171014627,-9.410481466360162,-0.03259739300796494,876,124,24,9,
CTRL,A,fast_gamma,band,-2.6309189275391605,-1.6863722519763886,-9.431380549280354,-0.11159038760950815,902,98,24,9,
CTRL,A,theta_delta,ratio,-3.0061865502053857,-1.4055677282971852,-11.706423276118322,0.30644901232905064,887,113,24,9,
CTRL,A,beta_delta,ratio,-3.018676464183597,-1.17757989529728,-32.06955941726407,0.4040560042543618,883,117,24,9,
CTRL,A,low_gamma_delta,ratio,-1.8021298908803667,-0.7003988900649772,-9.582073883802924,0.4811053048907701,890,110,24,9,
CTRL,A,high_gamma_delta,ratio,-1.7509499296192585,-0.7732242657512278,-6.814234609974705,0.2637748410710215,879,121,24,9,
CTRL,A,fast_gamma_delta,ratio,-2.197450370304291,-1.156939402277702,-9.067390892208254,0.09531613474084467,880,120,24,9,
CTRL,A,beta_theta,ratio,-2.653031410994469,-1.3916472427879927,-8.367250759337121,0.10278169651019842,889,111,24,9,
CTRL,A,low_gamma_theta,ratio,-3.3154971323775095,-1.9001244893063622,-11.385920586099173,0.2556471577886735,896,104,24,9,
CTRL,A,high_gamma_theta,ratio,-3.155725541043106,-1.7441645524142868,-10.563155527627185,-0.033324270924523725,861,139,24,9,
CTRL,A,fast_gamma_theta,ratio,-2.16124150959149,-1.142090061273652,-6.689454578305667,0.12808936419682354,902,98,24,9,
CTRL,A,low_gamma_beta,ratio,-2.351255957237369,-1.046071364364722,-9.039046932416703,0.2821752222974009,885,115,24,9,
CTRL,A,high_gamma_beta,ratio,-1.5649729460095787,-0.5431420836021555,-7.4457018021380295,0.6152462643551855,902,98,24,9,
CTRL,A,fast_gamma_beta,ratio,-3.4661284952248255,-1.7302989458082776,-11.62426678173574,-0.32505145878752545,894,106,24,9,
CTRL,A,high_gamma_low_gamma,ratio,-2.8418805735242523,-1.4010714240511786,-13.005863735583148,0.16348295787088116,869,131,24,9,
CTRL,A,fast_gamma_low_gamma,ratio,-2.7401650304347167,-1.6028484643735281,-7.934112276124707,-0.04426036054054732,880,120,24,9,
CTRL,A,fast_gamma_high_gamma,ratio,-2.122437494416243,-0.8631484221669578,-7.028972888553459,0.18695100539118747,900,100,24,9,
CTRL,B,delta,band,-2.885223219435906,-1.7138087500698,-14.714531940612627,-0.052496486996971826,924,76,29,9,
CTRL,B,theta,band,-3.3385659693250664,-2.258641183008214,-12.599474757943996,-0.04078075923882746,934,66,29,9,
CTRL,B,beta,band,-2.9920294517893837,-1.3913029146637927,-16.733507179836284,0.092443275300615,933,67,29,9,
CTRL,B,low_gamma,band,-3.017252782407493,-1.6716914957773743,-20.689379242952445,-0.03569199880705387,937,63,29,9,
CTRL,B,high_gamma,band,-2.7438227210372053,-1.622035390813826,-12.680454896687012,0.1266073226794406,935,65,29,9,
CTRL,B,fast_gamma,band,-2.829369960318501,-1.6595672505426358,-14.351121420017373,0.19811869649673808,918,82,29,9,
CTRL,B,theta_delta,ratio,-2.4699885725807906,-1.2893925996098008,-13.985625361151769,-0.041693346258050074,946,54,29,9,
CTRL,B,beta_delta,ratio,-3.678822807808023,-1.5192458408636886,-20.95444834702209,0.04107472549220106,935,65,29,9,
CTRL,B,low_gamma_delta,ratio,-2.180090869428701,-1.1548434249758746,-12.597655020772768,0.15659244503820655,930,70,29,9,
CTRL,B,high_gamma_delta,ratio,-3.324485463925931,-1.7017394060703848,-19.840273849900427,0.051977621379308225,941,59,29,9,
CTRL,B,fast_gamma_delta,ratio,-3.817082009201696,-1.6688871430100773,-21.174978611581302,-0.13199314013991445,930,70,29,9,
CTRL,B,beta_theta,ratio,-4.710325728200989,-2.340507462843243,-25.90852116057305,-0.2638360366986186,933,67,29,9,
CTRL,B,low_gamma_theta,ratio,-2.8424519222555658,-1.5927166066411895,-17.606448598943498,0.07457819824253757,939,61,29,9,
CTRL,B,high_gamma_theta,ratio,-3.490234635544507,-1.5624357825490338,-20.735590604537194,-0.005123576900741747,940,60,29,9,
CTRL,B,fast_gamma_theta,ratio,-3.747076853709202,-2.395779163628242,-17.24626673636295,-0.13815874020719635,929,71,29,9,
CTRL,B,low_gamma_beta,ratio,-2.842868217709287,-1.4158166200989988,-15.633417365694392,-0.08146746866392104,936,64,29,9,
CTRL,B,high_gamma_beta,ratio,-2.9918481308963285,-1.7731663181094812,-13.180772472963497,-0.20178064261223008,925,75,29,9,
CTRL,B,fast_gamma_beta,ratio,-2.191059349381724,-1.3745911032899176,-7.321489776987512,-0.09410408944348525,940,60,29,9,
CTRL,B,high_gamma_low_gamma,ratio,-3.6711555171784442,-2.064657520254568,-20.095289299719983,-0.029078201914144813,916,84,29,9,
CTRL,B,fast_gamma_low_gamma,ratio,-2.487400544450843,-1.501379996230809,-9.244761611608707,-0.04949630846183739,921,79,29,9,
CTRL,B,fast_gamma_high_gamma,ratio,-2.8933759099789955,-1.797479014395203,-13.991275909749085,0.13250552205546473,920,80,29,9,
CTRL,C,delta,band,-4.7545775465926905,-1.4240680436372892,-24.55060214927404,0.07307102921353269,718,282,17,8,
CTRL,C,theta,band,-4.849034212325599,-1.2819738784436145,-26.17668635426044,-0.14387487151986245,757,243,17,8,
CTRL,C,beta,band,-7.501206308087698,-2.5254612764276314,-39.08862995682162,0.11156315511286503,738,262,17,8,
CTRL,C,low_gamma,band,-8.065199599895843,-2.7521377488920082,-32.56520181455968,-0.15423057623660852,723,277,17,8,
CTRL,C,high_gamma,band,-7.834215295490381,-2.4317175516830956,-39.89709347123782,-0.10275933494554969,765,235,17,8,
CTRL,C,fast_gamma,band,-4.42583453275003,-1.8753922488398194,-26.12248463104277,-0.0017569941384629009,748,252,17,8,
CTRL,C,theta_delta,ratio,-6.811987874407382,-1.302038910741738,-28.27031235935787,0.2714974223877801,732,268,17,8,
CTRL,C,beta_delta,ratio,-7.631514398967449,-2.5365796236465252,-40.36975210362468,-0.11496411746583975,734,266,17,8,
CTRL,C,low_gamma_delta,ratio,-8.028972113997316,-2.7040150940940126,-37.21000798028347,-0.24474792705226175,747,253,17,8,
CTRL,C,high_gamma_delta,ratio,-6.375758474366711,-2.1189242683365976,-34.0050394067669,-0.050056249335185744,730,270,17,8,
CTRL,C,fast_gamma_delta,ratio,-5.777290508534705,-1.985369709349194,-27.016262181500462,-0.14632668024295892,741,259,17,8,
CTRL,C,beta_theta,ratio,-6.892169127082614,-1.979581902554636,-38.37172475188784,-0.2290624295708478,756,244,17,8,
CTRL,C,low_gamma_theta,ratio,-5.054985418396893,-1.2207737000159422,-30.636318005977408,0.2810907425835485,742,258,17,8,
CTRL,C,high_gamma_theta,ratio,-4.425663709409414,-2.3343512528296384,-34.256869690312946,-0.03729251832885827,731,269,17,8,
CTRL,C,fast_gamma_theta,ratio,-6.504635473931359,-2.077297311876304,-34.58928562967446,-0.12152445508217594,720,280,17,8,
CTRL,C,low_gamma_beta,ratio,-6.7754221223761695,-1.8290807204572301,-33.19732174841952,-0.2515766405159392,749,251,17,8,
CTRL,C,high_gamma_beta,ratio,-4.636638208764063,-1.6280447096322455,-23.93116753952844,-0.013040078670705734,758,242,17,8,
CTRL,C,fast_gamma_beta,ratio,-5.919337114190813,-2.0854455914346826,-31.6963447034396,-0.06829271061866475,753,247,17,8,
CTRL,C,high_gamma_low_gamma,ratio,-7.626680030798313,-2.46823137420935,-31.009658842278135,-0.3891581979961838,737,263,17,8,
CTRL,C,fast_gamma_low_gamma,ratio,-7.593546796289965,-1.8314923769233529,-34.12759617351159,-0.20673739386475046,749,251,17,8,
CTRL,C,fast_gamma_high_gamma,ratio,-9.132690850097156,-2.231776431213465,-138.6098193536155,0.11364928079140725,750,250,17,8,
CTRL,D,delta,band,-1.5176782952581205,-0.9755216195387567,-5.343433612776946,-0.004967699995055572,962,38,33,9,
CTRL,D,theta,band,-1.0534718067599957,-0.7657849110274338,-3.793109939071283,0.11278961119960973,966,34,33,9,
CTRL,D,beta,band,-1.4706204815925024,-1.0408895100925957,-5.004947457157058,-0.08964513144931954,968,32,33,9,
CTRL,D,low_gamma,band,-1.2145866679534287,-0.8409729818220761,-4.285897196257687,-0.023667144814361423,959,41,33,9,
CTRL,D,high_gamma,band,-1.5957175589166255,-1.111506661216918,-5.831723688828647,0.08469019592907334,971,29,33,9,
CTRL,D,fast_gamma,band,-0.9758376208777675,-0.7420363873429432,-3.700534122447959,0.1460074581952676,967,33,33,9,
CTRL,D,theta_delta,ratio,-0.8025943996744705,-0.5462945102861821,-2.824133420851468,0.4314263913269664,970,30,33,9,
CTRL,D,beta_delta,ratio,-0.9506865620344809,-0.7344506889171116,-3.684322277975365,0.09863381009082542,966,34,33,9,
CTRL,D,low_gamma_delta,ratio,-1.528963569262978,-1.1685601482955756,-5.231896006155582,-0.1662301768237191,965,35,33,9,
CTRL,D,high_gamma_delta,ratio,-1.7366318210391736,-1.2539613597480905,-5.542926138227373,-0.1369245327256637,978,22,33,9,
CTRL,D,fast_gamma_delta,ratio,-1.9673784480278054,-1.3520480955369052,-7.715003228890016,-0.0047619734139123515,966,34,33,9,
CTRL,D,beta_theta,ratio,-1.8297981055332997,-1.3291561917751822,-6.725826713971574,0.07335798699906768,978,22,33,9,
CTRL,D,low_gamma_theta,ratio,-0.8846488409611712,-0.6635170082717581,-2.970039174331614,0.08254323891036071,972,28,33,9,
CTRL,D,high_gamma_theta,ratio,-1.095591199433298,-0.8894415013946508,-4.104083546009348,0.07656570474569609,973,27,33,9,
CTRL,D,fast_gamma_theta,ratio,-1.1468234501365049,-0.9216227754645119,-4.473815612010935,0.13985210720738256,972,28,33,9,
CTRL,D,low_gamma_beta,ratio,-0.6731862442551587,-0.34047741658372543,-3.854426431574497,0.38709714780380594,969,31,33,9,
CTRL,D,high_gamma_beta,ratio,-1.8103883444875792,-1.465690975300614,-5.477611332747274,-0.03910755371785171,968,32,33,9,
CTRL,D,fast_gamma_beta,ratio,-1.3581308731894954,-1.176444481098497,-3.3514596642968764,-0.1678528879128632,966,34,33,9,
CTRL,D,high_gamma_low_gamma,ratio,-1.9430970128169,-1.4755627940357978,-6.254098208271595,0.03125612019270602,968,32,33,9,
CTRL,D,fast_gamma_low_gamma,ratio,-1.4090829396395153,-1.1845627430234842,-3.9294218565915013,-0.08331818724820211,971,29,33,9,
CTRL,D,fast_gamma_high_gamma,ratio,-0.9291920419477029,-0.6259525505616335,-4.488938029559879,0.34727580870679225,971,29,33,9,
