mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,delta_abs,delta_rel,theta_abs,theta_rel,beta_abs,beta_rel,low_gamma_abs,low_gamma_rel,high_gamma_abs,high_gamma_rel,fast_gamma_abs,fast_gamma_rel,total_power,log_delta_abs,log_theta_abs,log_beta_abs,log_low_gamma_abs,log_high_gamma_abs,log_fast_gamma_abs,log_theta_delta,log_beta_delta,log_low_gamma_delta,log_high_gamma_delta,log_fast_gamma_delta,log_beta_theta,log_low_gamma_theta,log_high_gamma_theta,log_fast_gamma_theta,log_low_gamma_beta,log_high_gamma_beta,log_fast_gamma_beta,log_high_gamma_low_gamma,log_fast_gamma_low_gamma,log_fast_gamma_high_gamma
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-06_11-51-01_DIFF_Ch3_minus_Ch4.npy,2026-03-06,diet,11.0,,30.65,interpolated,C,1908907.7069607056,0.1859641048141563,1781524.9616542547,0.4000515545092601,168101.16377659,0.0999032631227844,57923.6987839799,0.0689698540384198,22070.407560360814,0.0349688124292005,11142.9907521898,0.0179536719729777,183184.4648757839,6.280784931365573,6.250791911802249,5.225570720102182,4.762856286445015,4.343810353079256,4.047001770088226,-0.02999301956332388,-1.0552142112633913,-1.5179286449205587,-1.936974578286317,-2.233783161277347,-1.0252211917000673,-1.4879356253572347,-1.9069815587229932,-2.2037901417140233,-0.46271443365716736,-0.8817603670229258,-1.1785689500139558,-0.41904593336575846,-0.7158545163567884,-0.29680858299102997
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-11_11-51-53_DIFF_Ch3_minus_Ch4.npy,2026-03-11,diet,16.0,,29.77,interpolated,C,3251259.4657177418,0.2298073937553162,2467013.8557757484,0.3969848583048402,207883.7210838529,0.0879009039690301,93605.48067280572,0.0800474687262789,19266.926470859577,0.0217939639376677,8475.152909021692,0.0097419468491106,256748.30281775637,6.512051629610849,6.392171588675002,5.317820482019017,4.971301277758118,4.28481243996903,3.9281475425028822,-0.11988004093584681,-1.1942311475918317,-1.5407503518527303,-2.227239189641819,-2.583904087107967,-1.074351106655985,-1.4208703109168836,-2.107359148705972,-2.46402404617212,-0.34651920426089866,-1.0330080420499872,-1.3896729395161351,-0.6864888377890885,-1.0431537352552365,-0.3566648974661479
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-17_11-09-26_DIFF_Ch3_minus_Ch4.npy,2026-03-17,diet,22.0,,29.2,interpolated,D,1484198.3743965984,0.1027996551322056,3279574.9531250955,0.5303731742854795,200397.33178522455,0.0844727332462916,56031.941038043886,0.047403651342933,22822.95247444848,0.0257537675731881,8113.400857106031,0.0092996217427377,252666.2265508176,6.17149195158185,6.515817560945219,5.301891934766726,4.748435667399039,4.35837182590249,3.909202933604932,0.3443256093633694,-0.8696000168151248,-1.423056284182811,-1.8131201256793599,-2.262289017976918,-1.2139256261784943,-1.7673818935461805,-2.1574457350427294,-2.6066146273402877,-0.5534562673676863,-0.943520108864235,-1.3926890011617932,-0.39006384149654877,-0.839232733794107,-0.44916889229755824
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-24_13-14-52_DIFF_Ch3_minus_Ch4.npy,2026-03-24,diet,29.0,,29.57,interpolated,B,3314675.8298941893,0.0596983495558361,14042519.38116394,0.5773544235588434,712276.3088023312,0.0765148041778197,139033.10816882105,0.0299238557513377,61801.291958024194,0.0178122265923069,8255.561385822492,0.0024100804121923,980769.6140821724,6.520441061497287,7.1474450319519,5.852648499409111,5.1431182317855955,4.790997554124025,3.91674661103009,0.6270039704546129,-0.6677925620881767,-1.3773228297116917,-1.7294435073732626,-2.6036944504671973,-1.2947965325427895,-2.0043268001663046,-2.3564474778278757,-3.23069842092181,-0.7095302676235152,-1.061650945285086,-1.9359018883790209,-0.3521206776615708,-1.2263716207555055,-0.8742509430939348
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-04-01_11-42-11_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.73,interpolated,A,2759256.194257073,0.0566617952756485,12947088.87478601,0.614216770846981,577842.5444660925,0.0709693056111675,113287.68848792404,0.0278531160513287,53208.080072136116,0.0175310158352119,8387.980691395878,0.002799431734852,857781.3406997646,6.440792026172051,7.112172129209404,5.761809514224432,5.054182715580253,4.7259775883906086,3.9236574220758675,0.671380103037353,-0.6789825119476188,-1.386609310591798,-1.7148144377814423,-2.5171346040961837,-1.350362614984972,-2.057989413629151,-2.3861945408187952,-3.1885147071335367,-0.7076267986441792,-1.0358319258338233,-1.8381520921485648,-0.3282051271896441,-1.1305252935043855,-0.8023201663147413
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-30_11-14-35_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.6,measured,D,2707673.5610432993,0.0530110279056344,13078767.31769439,0.586280641739362,625158.4629004315,0.0736719148373219,121157.00699986905,0.0285539480680175,44497.69270191384,0.0140079482116087,7405.79677838173,0.0023631125575373,896798.4843878323,6.432596304332453,7.116566813380383,5.795990114688779,5.083348536206738,4.648337492490919,3.8695717904519675,0.6839705090479307,-0.6366061896436731,-1.349247768125715,-1.784258811841534,-2.563024513880485,-1.3205766986916037,-2.0332182771736456,-2.4682293208894643,-3.2469950229284157,-0.7126415784820418,-1.147652622197861,-1.9264183242368118,-0.43501104371581906,-1.2137767457547701,-0.7787657020389511
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-02-19_11-46-09_DIFF_Ch2_minus_Ch3.npy,2026-02-19,baseline,,,30.5,baseline,D,2972098.0773834516,0.180168091867148,2906443.9007394495,0.4069016851448993,293164.8288117616,0.1058981053269335,94680.43579726576,0.068705106503065,44411.9998259139,0.0430271070911564,30549.168991478295,0.0301353800643252,297404.72150655766,6.473063136772128,6.4633619447586295,5.46711186648344,4.976260248242176,4.64750032944039,4.484999400918212,-0.009701192013497973,-1.0059512702886877,-1.4968028885299518,-1.825562807331738,-1.988063735853916,-0.9962500782751896,-1.4871016965164539,-1.81586161531824,-1.978362543840418,-0.4908516182412642,-0.8196115370430505,-0.9821124655652285,-0.3287599188017861,-0.49126084732396413,-0.16250092852217804
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-04_12-19-35_DIFF_Ch2_minus_Ch3.npy,2026-03-04,diet,9.0,,28.37,interpolated,B,2614376.711080431,0.2968001383590902,846050.7914358297,0.21435588043446,162155.48342364942,0.1106076673697327,77980.83839008922,0.106558105541842,45050.69321833751,0.0821325620936331,30048.07811821257,0.0556996122409474,161886.45414138053,6.417368166165699,5.9273964360628675,5.209931639289396,4.8919879000778215,4.6537014780805075,4.4778166996549915,-0.4899717301028306,-1.2074365268763025,-1.5253802660878772,-1.763666688085191,-1.9395514665107068,-0.7174647967734719,-1.0354085359850465,-1.2736949579823602,-1.4495797364078762,-0.3179437392115747,-0.5562301612088884,-0.7321149396344042,-0.23828642199731367,-0.41417120042282957,-0.17588477842551592
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-09_12-34-46_DIFF_Ch2_minus_Ch3.npy,2026-03-09,diet,14.0,,27.4,measured,A,11058463.941772148,0.3721779896112535,3270956.68054411,0.2435850298918185,460087.9262119715,0.092145220598544,225202.8744011188,0.0916297321438375,51799.06564809773,0.0278135137448239,31049.938488990527,0.0169545577286466,553316.3497682079,7.043694806178315,6.514674792512254,5.662840836506879,5.352573929379034,4.714321926009035,4.492060744160958,-0.5290200136660603,-1.380853969671436,-1.6911208767992814,-2.32937288016928,-2.5516340620173565,-0.8518339560053756,-1.162100863133221,-1.8003528665032194,-2.022614048351296,-0.3102669071278455,-0.9485189104978438,-1.1707800923459208,-0.6382520033699983,-0.8605131852180752,-0.22226118184807694
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-14_12-26-46_DIFF_Ch2_minus_Ch3.npy,2026-03-14,diet,19.0,,28.2,interpolated,D,3900290.2566153295,0.3187745497724559,1582573.4376477224,0.2860194966757455,210100.95031293365,0.1026791364646992,62248.175702845525,0.0611726647789078,27114.770330467487,0.035506488564791,14343.20002862658,0.0190840785302453,224903.45753372397,6.591096928092071,6.199363872133414,5.322428016778774,4.794126628156576,4.433205930193821,4.156646055078841,-0.3917330559586564,-1.268668911313297,-1.796970299935495,-2.1578909978982503,-2.4344508730132297,-0.8769358553546407,-1.4052372439768386,-1.7661579419395939,-2.0427178170545734,-0.528301388622198,-0.8892220865849532,-1.1657819616999328,-0.36092069796275517,-0.6374805730777348,-0.27655987511497965
