mouse,group,differential_file,beta_episode_rate,beta_mean_duration_sec,beta_mean_amplitude,beta_fraction_of_time,beta_n_episodes,beta_threshold,low_gamma_episode_rate,low_gamma_mean_duration_sec,low_gamma_mean_amplitude,low_gamma_fraction_of_time,low_gamma_n_episodes,low_gamma_threshold,high_gamma_episode_rate,high_gamma_mean_duration_sec,high_gamma_mean_amplitude,high_gamma_fraction_of_time,high_gamma_n_episodes,high_gamma_threshold
13,CTRL,Mouse13_Cable1_CTRL_2026-03-30_11-38-49_DIFF_Ch2_minus_Ch3.npy,13.440258052954617,0.2607294117647059,167.74789158744542,0.05840450960187847,272,95.74171908753601,8.054272289086773,0.19199018404907978,129.41969815920868,0.025772353652719543,163,72.45180729208526,5.484811190727803,0.16473513513513516,108.40802319433537,0.015059018544920769,111,55.549816872608844
18,CTRL,Mouse18_Cable1_CTRL_2026-02-21_11-53-58_DIFF_Ch3_minus_Ch4.npy,6.1615094442424905,0.19326010362694301,147.6732415179443,0.01984623256154486,193,113.35876869124915,3.7032906504255383,0.14053103448275864,110.45966403890465,0.008673787768243815,116,109.3586669039467,2.07511976101431,0.13352615384615382,76.30841862899801,0.004618046007639846,65,85.47600873192046
18,CTRL,Mouse18_Cable1_CTRL_2026-03-06_12-29-54_DIFF_Ch3_minus_Ch4.npy,10.252217528696475,0.34693924050632907,267.21667245263325,0.059281609381860494,316,113.68468279540443,6.261639186830442,0.31511295336787565,268.56886436045323,0.032885393618102735,193,97.8649010883767,5.450546027914582,0.2559285714285714,212.76645563836814,0.023249174307164222,168,73.50399281902472
18,CTRL,Mouse18_Cable1_CTRL_2026-03-11_12-32-08_DIFF_Ch3_minus_Ch4.npy,11.678609962296669,0.2102340909090909,344.38669838793044,0.04092069914175488,352,220.50856271348826,9.190269771466413,0.1979032490974729,228.75105438292908,0.030313070797591553,277,149.93542998895524,3.3841426595291484,0.18496470588235292,221.71836899041494,0.010432449194728877,102,87.65812259216551
18,CTRL,Mouse18_Cable1_CTRL_2026-03-19_17-37-41_DIFF_Ch3_minus_Ch4.npy,16.360102724800296,0.21225060240963858,165.6763367805657,0.05787402764704053,498,131.73750300307324,6.2089546485687865,0.16643386243386246,101.7845141100233,0.017223005063966467,189,93.8811986423939,2.726683787466716,0.132,68.40149287971624,0.005998704332426775,83,61.65978899005676
18,CTRL,Mouse18_Cable1_CTRL_2026-03-24_13-50-15_DIFF_Ch3_minus_Ch4.npy,15.653883146276321,0.31783126338329765,176.51178939437148,0.08292155762059189,467,120.85705155544655,9.08394503777491,0.20634686346863465,112.09654787179106,0.031240726107772013,271,95.328224918123,2.9162480379572586,0.1336551724137931,73.18293454443295,0.006496193905242721,87,63.98461038098571
18,CTRL,Mouse18_Cable1_CTRL_2026-04-01_12-28-44_DIFF_Ch3_minus_Ch4.npy,17.450827884412572,0.3133756373937677,221.5415895816659,0.09114440518877874,353,118.18135252477069,8.700696055684455,0.2633318181818182,212.30800701712144,0.03818616852984602,176,88.28326696575206,4.152604935667581,0.20879047619047622,194.68051328167832,0.014450406032482599,84,62.49240898035974
18,CTRL,Mouse18_Cable1_CTRL_2026-03-30_12-01-38_DIFF_Ch3_minus_Ch4.npy,10.246178948548717,0.5432339622641509,195.78845783387618,0.09276787313812751,212,117.07528206949499,9.424551391353772,0.22897641025641027,116.66298110428198,0.035966665764487385,195,93.11202740329144,2.9481929993465648,0.1362754098360656,84.67921841336509,0.006696103487696208,61,64.01005501789521
19,CTRL,Mouse19_Cable1_CTRL_2026-02-21_13-53-25_DIFF_Ch3_minus_Ch4.npy,10.29427001006846,0.2219638709677419,181.70380116337418,0.03808260033703219,310,114.11995487872852,4.64902516583737,0.18754285714285715,179.95742878810384,0.014531524375503091,140,101.30833921716219,3.7192201326698955,0.16637857142857146,124.84114199879876,0.010313308875033319,112,81.79588011450701
19,CTRL,Mouse19_Cable1_CTRL_2026-03-04_12-59-01_DIFF_Ch3_minus_Ch4.npy,8.885974122986285,0.2068104089219331,160.84009321578446,0.030628532367408492,269,98.60174573723779,4.2282702146551845,0.18634375,149.4091619680643,0.013131862130202534,128,84.6035772879103,2.609635523107497,0.1690430379746835,128.02100568287037,0.007352345280545729,79,67.09519864123799
