mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta,beta_episode_rate,beta_mean_duration_sec,beta_mean_amplitude,beta_fraction_of_time,beta_n_episodes,beta_threshold,low_gamma_episode_rate,low_gamma_mean_duration_sec,low_gamma_mean_amplitude,low_gamma_fraction_of_time,low_gamma_n_episodes,low_gamma_threshold,high_gamma_episode_rate,high_gamma_mean_duration_sec,high_gamma_mean_amplitude,high_gamma_fraction_of_time,high_gamma_n_episodes,high_gamma_threshold
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-17_11-45-07_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,28.07,interpolated,A,0.3221857204827179,-0.491893711753504,0.0750187273702506,-1.1248303075642037,0.0308624464532028,-1.5105696505666524,0.0181545441486709,-1.7410146515267582,0.1703587151606093,-0.7686356440195243,4.15579879107259,0.15508480000000002,171.6338731090531,0.010741687072562242,125,120.51628797688373,3.091914300558007,0.14284731182795696,139.8947185876841,0.007361194103952154,93,108.04239597493952,5.3194224525729155,0.13483,94.44829178573352,0.011953628821340104,160,90.15201103616985
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-27_11-54-52_DIFF_Ch2_minus_Ch3.npy,2026-03-27,diet,32.0,,26.9,interpolated,C,0.6621990248841078,-0.1790114631003548,0.0982533637594388,-1.007652572380976,0.0181851234932394,-1.7402837453516211,0.0060318668536632,-2.219548253570235,0.2740137573263209,-0.5622276321397629,10.865613997737656,0.22481707317073168,245.22696619378354,0.040712925619571884,328,109.46235121370204,8.215464242191885,0.18761290322580648,217.06874880274694,0.025688784963756994,248,84.3051284405372,4.339620224706198,0.1782473282442748,195.29671166598837,0.012892095177478321,131,62.36277117535745
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-04-01_12-05-44_DIFF_Ch2_minus_Ch3.npy,2026-04-01,recovery,,2.0,28.17,interpolated,B,0.6665931127945177,-0.1761391777603799,0.043418072890826,-1.3623294565944866,0.0079886661669433,-2.0975257269054386,0.0035749919837226,-2.4467249276891754,0.2389014836044949,-0.6217811532252381,14.362796987972892,0.33696827586206896,280.7854968401201,0.08066344895990238,290,99.3958247873165,9.60821591609221,0.2993319587628866,263.59431355470076,0.04793410150634373,194,78.8298287360274,7.429032924813565,0.21872000000000005,202.57130659873553,0.027081301355253714,150,61.00482203798535
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-30_11-38-49_DIFF_Ch2_minus_Ch3.npy,2026-03-30,diet,35.0,,26.9,measured,D,0.7414713315411496,-0.1299056359965919,0.0518923883372021,-1.284896340524999,0.0118291356905295,-1.9270469864410964,0.0070428900259521,-2.15224909302113,0.2664690416877692,-0.5743532399400751,13.440258052954617,0.2607294117647059,167.74789158744542,0.05840450960187847,272,95.74171908753601,8.054272289086773,0.19199018404907978,129.41969815920868,0.025772353652719543,163,72.45180729208526,5.484811190727803,0.16473513513513516,108.40802319433537,0.015059018544920769,111,55.549816872608844
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-02-21_11-53-58_DIFF_Ch3_minus_Ch4.npy,2026-02-21,baseline,,,35.3,baseline,B,0.5715133652513897,-0.2429736088609013,0.0662569670237243,-1.1787684482459089,0.0302354794914931,-1.5194831397136246,0.0143870157330512,-1.842029281468365,0.1573448812950568,-0.8031473808821263,6.1615094442424905,0.19326010362694301,147.6732415179443,0.01984623256154486,193,113.35876869124915,3.7032906504255383,0.14053103448275864,110.45966403890465,0.008673787768243815,116,109.3586669039467,2.07511976101431,0.13352615384615382,76.30841862899801,0.004618046007639846,65,85.47600873192046
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-06_12-29-54_DIFF_Ch3_minus_Ch4.npy,2026-03-06,diet,11.0,,32.83,interpolated,D,0.4916959201968744,-0.30830339521469,0.0300054031456574,-1.5228005337784634,0.0076314401974893,-2.117393494705704,0.0029225118139832,-2.534243724567371,0.1187511790447352,-0.9253620697024186,10.252217528696475,0.34693924050632907,267.21667245263325,0.059281609381860494,316,113.68468279540443,6.261639186830442,0.31511295336787565,268.56886436045323,0.032885393618102735,193,97.8649010883767,5.450546027914582,0.2559285714285714,212.76645563836814,0.023249174307164222,168,73.50399281902472
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-11_12-32-08_DIFF_Ch3_minus_Ch4.npy,2026-03-11,diet,16.0,,31.3,interpolated,D,0.3197553660530187,-0.4951821585688987,0.0665924124218469,-1.1765752517763466,0.0171062438454314,-1.766845341498379,0.0081594462508653,-2.088339314083629,0.2322530212863535,-0.6340386277349359,11.678609962296669,0.2102340909090909,344.38669838793044,0.04092069914175488,352,220.50856271348826,9.190269771466413,0.1979032490974729,228.75105438292908,0.030313070797591553,277,149.93542998895524,3.3841426595291484,0.18496470588235292,221.71836899041494,0.010432449194728877,102,87.65812259216551
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-19_17-37-41_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,29.8,measured,C,0.5245701272040734,-0.2801964448928778,0.0841306379091103,-1.0750458180931108,0.0270633975103446,-1.5676176834452171,0.0109016414879531,-1.962508104308304,0.3452693599680265,-0.4618419602756036,16.360102724800296,0.21225060240963858,165.6763367805657,0.05787402764704053,498,131.73750300307324,6.2089546485687865,0.16643386243386246,101.7845141100233,0.017223005063966467,189,93.8811986423939,2.726683787466716,0.132,68.40149287971624,0.005998704332426775,83,61.65978899005676
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-24_13-50-15_DIFF_Ch3_minus_Ch4.npy,2026-03-24,diet,29.0,,30.37,interpolated,D,0.5746068203904774,-0.2406292233834563,0.0859625125046368,-1.0656908994747645,0.0274515398098708,-1.5614332901146344,0.0120227424987641,-1.919996454444379,0.3726686468430305,-0.4286771435376392,15.653883146276321,0.31783126338329765,176.51178939437148,0.08292155762059189,467,120.85705155544655,9.08394503777491,0.20634686346863465,112.09654787179106,0.031240726107772013,271,95.328224918123,2.9162480379572586,0.1336551724137931,73.18293454443295,0.006496193905242721,87,63.98461038098571
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-04-01_12-28-44_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,30.43,interpolated,C,0.943590064489724,-0.0252166406563072,0.0571444460976425,-1.2430259725540251,0.0100380390202245,-1.9983511204456257,0.0020277395000261,-2.6929878387706077,0.2177787998995912,-0.661984399762749,17.450827884412572,0.3133756373937677,221.5415895816659,0.09114440518877874,353,118.18135252477069,8.700696055684455,0.2633318181818182,212.30800701712144,0.03818616852984602,176,88.28326696575206,4.152604935667581,0.20879047619047622,194.68051328167832,0.014450406032482599,84,62.49240898035974
