tier,outcome,effect,coef,se,ci_low,ci_high,p_value,p_fdr,n_obs,n_groups,group_var,residual_var,converged
primary,log_low_gamma_theta,group[T.HF],0.10987372863878102,0.18541900347975176,-0.2535408402308394,0.47328829750840146,0.5534689982020597,0.6098306117349719,89,19,0.05286253142983407,0.04008806579941651,True
primary,log_low_gamma_theta,C(estrous_phase)[T.B],-0.09611453213026024,0.07280460634025694,-0.23880893846578033,0.046579874205259844,0.1867779219970198,,89,19,0.05286253142983407,0.04008806579941651,True
primary,log_low_gamma_theta,C(estrous_phase)[T.C],0.06070550463040707,0.08621432605738807,-0.10827146939346667,0.22968247865428082,0.48135607150352755,,89,19,0.05286253142983407,0.04008806579941651,True
primary,log_low_gamma_theta,C(estrous_phase)[T.D],0.024220148255753044,0.07237466792853245,-0.11763159427721669,0.16607189078872278,0.7378894811015817,,89,19,0.05286253142983407,0.04008806579941651,True
primary,log_low_gamma_theta,days_on_diet,0.005363619170668357,0.003724640184809094,-0.0019365414469280778,0.012663779788264792,0.14985696983016186,,89,19,0.05286253142983407,0.04008806579941651,True
primary,log_low_gamma_theta,group[T.HF]:days_on_diet,-0.002739324187514508,0.004962152105367572,-0.012464963599844552,0.006986315224815537,0.5809184990492042,,89,19,0.05286253142983407,0.04008806579941651,True
primary,log_low_gamma_theta,body_weight,-0.014935497688231443,0.01793331880000302,-0.05008415665951242,0.020213161283049536,0.4049377255823202,,89,19,0.05286253142983407,0.04008806579941651,True
primary,log_high_gamma_theta,Intercept,-1.1631714893357572,0.649634361071255,-2.4364314401551064,0.11008846148359197,0.0733732790084654,,89,19,0.06766786260708307,0.046537592103745695,True
primary,log_high_gamma_theta,group[T.HF],0.2281711743367691,0.2048565720634521,-0.1733403289039312,0.6296826775774693,0.26536096614952376,0.4169958039492516,89,19,0.06766786260708307,0.046537592103745695,True
primary,log_high_gamma_theta,C(estrous_phase)[T.B],-0.08650378603843634,0.07876725540583092,-0.2408847697949328,0.06787719771806014,0.27210837510130326,,89,19,0.06766786260708307,0.046537592103745695,True
primary,log_high_gamma_theta,C(estrous_phase)[T.C],0.02287852689188103,0.09309360149190664,-0.15958157922338023,0.20533863300714228,0.8058693252345691,,89,19,0.06766786260708307,0.046537592103745695,True
primary,log_high_gamma_theta,C(estrous_phase)[T.D],0.0324695507631451,0.07812358320158796,-0.12064985865518567,0.18558896018147586,0.6776897089652387,,89,19,0.06766786260708307,0.046537592103745695,True
primary,log_high_gamma_theta,days_on_diet,0.00665858527649023,0.004043488373281703,-0.0012665063070483578,0.014583676860028818,0.09961092744295856,,89,19,0.06766786260708307,0.046537592103745695,True
