mouse,group,cable,differential_file,days_on_diet,body_weight,duration_min,min,max,mean,std,rms,peak_to_peak,diff_path,bad_std,bad_rms,bad_peak_to_peak,bad_candidate
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-30_11-38-49_DIFF_Ch2_minus_Ch3.npy,35.0,26.9,20.237706666666668,-18663.0,23963.0,-0.4985643959658143,266.23036559863124,266.23083242411604,42626.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse13_Cable1_CTRL_2026-03-30_11-38-49_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-02-21_11-53-58_DIFF_Ch3_minus_Ch4.npy,,35.3,31.32349333333333,-5661.0,6724.0,0.14782812644992344,161.85680430098094,161.85687180864764,12385.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse18_Cable1_CTRL_2026-02-21_11-53-58_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-06_12-29-54_DIFF_Ch3_minus_Ch4.npy,11.0,32.83,30.8226,-27794.0,36514.0,-0.5932988564667917,530.250968344362,530.2513002658897,64308.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse18_Cable1_CTRL_2026-03-06_12-29-54_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-11_12-32-08_DIFF_Ch3_minus_Ch4.npy,16.0,31.3,30.140573333333336,-16107.0,32301.0,0.45108011659145614,365.72761498175,365.727893157619,48408.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse18_Cable1_CTRL_2026-03-11_12-32-08_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-19_17-37-41_DIFF_Ch3_minus_Ch4.npy,24.0,29.8,30.439906666666666,-10001.0,6455.0,0.13148748156477047,137.64102917006474,137.64109197457142,16456.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse18_Cable1_CTRL_2026-03-19_17-37-41_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-24_13-50-15_DIFF_Ch3_minus_Ch4.npy,29.0,30.37,29.832853333333333,-7625.0,9884.0,-0.06577625383022923,143.6904825280337,143.69049758301597,17509.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse18_Cable1_CTRL_2026-03-24_13-50-15_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-04-01_12-28-44_DIFF_Ch3_minus_Ch4.npy,,30.43,20.228266666666666,-38949.0,44648.0,-0.6073263815650707,444.52051284073985,444.52092772053845,83597.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse18_Cable1_CTRL_2026-04-01_12-28-44_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-30_12-01-38_DIFF_Ch3_minus_Ch4.npy,35.0,30.1,20.69064,-12723.0,12125.0,0.44827483989539874,170.94049690390074,170.94108468149074,24848.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse18_Cable1_CTRL_2026-03-30_12-01-38_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-02-21_13-53-25_DIFF_Ch3_minus_Ch4.npy,,29.1,30.11384,-17624.0,16113.0,0.15399608065040304,255.80289305796236,255.80293941160292,33737.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse19_Cable1_CTRL_2026-02-21_13-53-25_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-04_12-59-01_DIFF_Ch3_minus_Ch4.npy,9.0,29.37,30.272426666666668,-37608.0,25757.0,-1.0506106326901665,364.8653654383454,364.86687802424444,63365.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse19_Cable1_CTRL_2026-03-04_12-59-01_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
